category;type;naam_afgeleid;url;phone;email;opening_hours;cuisine;addr_street;addr_housenumber;addr_postcode;city;lat;lon;osm_layer;osm_id;osm_type_guess;osm_url;pakket;soort;tekst;categorie
logies;Chalet;Bungalowpark Landsrade;;;;;;;;;;5,07838E+16;58852542;points;259862720;node;https://www.openstreetmap.org/node/259862720;;;;
logies;Hotel;Hermes Appartementen;https://www.hermesappartementen.nl/;+31 43 311 8090;info@hermesappartementen.nl;;;Rijksweg;141;6325AD;Berg en Terblijt;5,08574E+16;5811483;points;263863410;node;https://www.openstreetmap.org/node/263863410;;;;Slapen
vrije_tijd;Perspectief;Mookerschans;;;;;;;;;;5,17581E+16;58841973;points;268105573;node;https://www.openstreetmap.org/node/268105573;;;;
horeca;Restaurant;Robin;;+49 2406 6667848;;"Tu-Fr 16:00-22:30; PH,Sa,Su 12:00-22:00";italian;Voccartstraße;55;;;5,08527E+16;6,07695E+15;points;270906420;node;https://www.openstreetmap.org/node/270906420;;;;
horeca;Restaurant;Hellas-Grill;;;;"Mo,Tu,Th 15:30-22:30; Fr-Su 12:00-22:30";;;;;;508552222;60789358;points;270909916;node;https://www.openstreetmap.org/node/270909916;;;;
horeca;Restaurant;'t Cadetje;;;;;;Grotestraat Centrum;13;6301CV;Valkenburg;508630009;58317604;points;276382742;node;https://www.openstreetmap.org/node/276382742;;;;
logies;Hotel;Hotel Botterweck;https://www.hotelbotterweck.nl/;;;;;Bogaardlaan;4;6301CZ;Valkenburg;5,08642E+16;5,83248E+15;points;276383582;node;https://www.openstreetmap.org/node/276383582;;;;Slapen
logies;Hotel;Tummers;https://www.hoteltummers.nl;;;;;Stationsstraat;21;6301EZ;Valkenburg;508690256;58322662;points;276384071;node;https://www.openstreetmap.org/node/276384071;;;;Slapen
logies;Hotel;Hotel Courage;https://www.couragevalkenburg.nl;+31 43 2041392;;;;Grotestraat Centrum;32;6301CX;Valkenburg;5,0864E+16;5,83184E+15;points;276384481;node;https://www.openstreetmap.org/node/276384481;;;;Slapen
horeca;Restaurant;La Place;https://www.laplace.com/locaties/sevenum;;;Mo-Su 07:00-21:00;;Kleefsedijk;29;5975NV;Sevenum;513794934;5,98515E+15;points;279712615;node;https://www.openstreetmap.org/node/279712615;;;;Eten
horeca;Restaurant;De Turfhoeve;https://www.turfhoeve.nl/;;;;;;;;;513785645;59834933;points;279712624;node;https://www.openstreetmap.org/node/279712624;;;;Eten
logies;guest_house;De Perelaar;;;;;;;;;;507856663;57681838;points;286355652;node;https://www.openstreetmap.org/node/286355652;;;;
horeca;fast_food;Frituur Camping Colmont;;;;;;;;;;508521623;5,93431E+15;points;292202823;node;https://www.openstreetmap.org/node/292202823;;;;
horeca;Restaurant;De Leuf;https://www.deleuf.nl;+31 45 575 0226;;"Tu 18:30+; Th-Sa 12:00-13:00, 18:30+";;Dalstraat;2;6367JS;Voerendaal;5,08526E+16;59521683;points;292384925;node;https://www.openstreetmap.org/node/292384925;;;;Eten
horeca;Restaurant;Brasserie Zondheed;https://www.brasseriezondheed.nl/;+31 45 200 0370;;;;Dirksstraat;2;6367HW;Voerendaal;50853482;59477184;points;292384937;node;https://www.openstreetmap.org/node/292384937;;;;Eten
horeca;fast_food;Cafetaria Ubachsberg;https://www.cafetariaubachsberg.nl/;+31 45 562 0001;;;;Kerkstraat;37;6367JB;Voerendaal;5,08532E+16;59474117;points;292384938;node;https://www.openstreetmap.org/node/292384938;;;;Eten
horeca;Cafe;De Michiel;https://demichielvalkenburg.nl/;;;;;Theodoor Dorrenplein;14;6301DV;Valkenburg;508647362;5,83221E+15;points;298875572;node;https://www.openstreetmap.org/node/298875572;;;;Drinken
horeca;Pub;Café Carboon;;;;;;Ganzeweide;38;6413GG;Heerlen;509146371;5955833;points;298886276;node;https://www.openstreetmap.org/node/298886276;;;;
horeca;Pub;Pitstop;;;;;;;;;;509145534;59559208;points;298886277;node;https://www.openstreetmap.org/node/298886277;;;;
horeca;Restaurant;Happy Boeddha;https://www.happyboeddhavoerendaal.com/;+31 45 575 1898;;;chinese;Kerkplein;68;6367ES;Voerendaal;508829919;5928142;points;298888997;node;https://www.openstreetmap.org/node/298888997;;;;Eten
horeca;fast_food;Cafetaria Op de Boom;https://www.cafetariaopdeboom.nl/;+31 475 301 293;;"We-Fr 16:00-22:00; Sa 11:30-13:30,16:00-22:00; Su 15:30-22:00";;Spaanshuisken;13;6104RR;Koningsbosch;510358547;5,95643E+15;points;306137327;node;https://www.openstreetmap.org/node/306137327;;;;Eten
vrije_tijd;Sportcentrum;TV Gennep;https://www.tvgennep.nl/;;;;;;;;;516987759;5965671;points;309892678;node;https://www.openstreetmap.org/node/309892678;;;;Sporten
horeca;Restaurant;Steak House Mujo;http://www.steakhouse-mujo.de/;;;;;;;;;509233582;6,06026E+15;points;314951717;node;https://www.openstreetmap.org/node/314951717;;;;Eten
horeca;Pub;Zoll-Stübchen;;;;"Mo,Th,Fr 17:00-24:00; Sa 14:00-24:00";;Alte Vaalser Straße;109;52074;Aachen;507689919;6,02461E+15;points;317979608;node;https://www.openstreetmap.org/node/317979608;;;;
vrije_tijd;Theater;Dok 6;;;;;;Raadhuisplein;6;5981AT;Panningen;513283715;59806827;points;320951465;node;https://www.openstreetmap.org/node/320951465;;;;
horeca;Pub;Momus;;;;;;Raadhuisplein;6;5981AT;Panningen;513283587;5,98085E+15;points;320951470;node;https://www.openstreetmap.org/node/320951470;;;;
vrije_tijd;Cinema;DOK6 Cinema;https://www.dok6cinema.eu/;;;;;Raadhuisplein;6;5981AT;Panningen;513282709;59806856;points;320951483;node;https://www.openstreetmap.org/node/320951483;;;;Bioscoop
logies;Hotel;Hotel Nieuw Antiek;https://hotelnieuwantiek.nl;+31 77 306 7200;info@hotelnieuwantiek.nl;;;Mariaplein;1;5988CH;Helden;513206168;59992874;points;320951488;node;https://www.openstreetmap.org/node/320951488;;;;Slapen
horeca;fast_food;Restaria Helden;https://www.restariahelden.nl/;;;Tu-Su 11:30-20:30;friture;Mariaplein;18;5988CJ;Helden;5,132E+16;6,00082E+15;points;321207655;node;https://www.openstreetmap.org/node/321207655;;;;Eten
horeca;Restaurant;La Rondine;http://www.larondine.nl/;;;;italian;;;;;514586564;6,04161E+15;points;322179044;node;https://www.openstreetmap.org/node/322179044;;;;Eten
horeca;Pub;Maasoever;;;;;;Dorpstraat;36;5995AZ;Kessel;5,12908E+16;60533609;points;331918878;node;https://www.openstreetmap.org/node/331918878;;;;
horeca;Pub;De Boesjer;https://cafedeboesjer.nl;+31 77 462 1655;info@cafedeboesjer.nl;;;Markt;3;5995BB;Kessel;512913955;60570987;points;331919012;node;https://www.openstreetmap.org/node/331919012;;;;Drinken
logies;Hotel;Gr8 Hotel Sevenum;https://www.gr8hotels.nl/nl/sevenum/gr8-sevenum/;+31 88 45 40 631;reservations@gr8hotels.nl;;;Kleefsedijk;29a;5975NV;Sevenum;513787512;5,98508E+16;points;332373941;node;https://www.openstreetmap.org/node/332373941;;;;Slapen
vrije_tijd;Informatie;VVV;;;;;;;;;;5,16493E+16;5,95079E+15;points;352969492;node;https://www.openstreetmap.org/node/352969492;;;;
vrije_tijd;Museum;kruisweg op de Schaelsberg;https://www.dekluisvalkenburg.nl;;;24/7;;;;;;5,08607E+16;58561363;points;358039107;node;https://www.openstreetmap.org/node/358039107;;;;Bezoeken
horeca;Restaurant;Meds;;;;;;Markt;31;6131EL;Sittard;509981664;58712239;points;364811031;node;https://www.openstreetmap.org/node/364811031;;;;
horeca;fast_food;Fritüre Delnoye;;+31 43 308 0209;;Tu-Sa 12:00-21:00;"regional;burger";Maastrichterlaan;164;6291EW;Vaals;5,07743E+15;6,01306E+15;points;371542328;node;https://www.openstreetmap.org/node/371542328;;;;
vrije_tijd;Attractie;Kasteel Born;;;;;;;;;;510310579;58112985;points;380595811;node;https://www.openstreetmap.org/node/380595811;;;;
logies;Hotel;Berghoeve;https://www.berghoeve.nl;;;;;;;;;5,07755E+16;5905896;points;385282594;node;https://www.openstreetmap.org/node/385282594;;;;Slapen
horeca;fast_food;Burger King;;;;Mo-Su 11:00-22:00;burger;Schaarbroekerweg;56;6042EJ;Roermond;5,12099E+16;6,01878E+15;points;388562893;node;https://www.openstreetmap.org/node/388562893;;;;
horeca;fast_food;KFC;https://www.kfc.nl/;+31 475 301 311;;Mo-Su 11:00-23:00;chicken;Schaarbroekerweg;70;6042EJ;Roermond;512093957;60191223;points;388562894;node;https://www.openstreetmap.org/node/388562894;;;;Eten
vrije_tijd;Kunst en Cultuur;Limburgs Bevrijdingsmonument;;;;;;;;;;50849265;57103517;points;391453461;node;https://www.openstreetmap.org/node/391453461;;;;
horeca;Restaurant;Hong Kong;;;;;chinese;;;;;5,17008E+16;59722305;points;393965450;node;https://www.openstreetmap.org/node/393965450;;;;
vrije_tijd;Fietsverhuur;Cycle Center;;;;;;De Valkenberg;8B;6301PM;Valkenburg;5,08742E+16;58231731;points;413008331;node;https://www.openstreetmap.org/node/413008331;;;;
logies;Hotel;Hotel Opdeboud;https://www.opdeboud.nl;+31 43 601 3084;info@opdeboud.nl;;;Parallelweg;5;6301XX;Valkenburg;5,08721E+16;58262498;points;413008333;node;https://www.openstreetmap.org/node/413008333;;;;Slapen
logies;Hotel;Atlas;https://www.atlashotel.nl/;+31 43 6015341;info@atlashotel.nl;;;Nieuweweg;7;6301ES;Valkenburg;5,08675E+16;5,83294E+16;points;413037453;node;https://www.openstreetmap.org/node/413037453;;;;Slapen
horeca;fast_food;Big Snack;;;;;regional;;;;;5,08708E+16;5,82449E+16;points;413065683;node;https://www.openstreetmap.org/node/413065683;;;;
vrije_tijd;Sportcentrum;XBaze;https://www.xbaze.nl;+31 77 820 0400;info@xbaze.nl;Mo-Su 09:00-21:00;;Pater Claretstraat;2;5953LC;Reuver;512839449;60918361;points;417540172;node;https://www.openstreetmap.org/node/417540172;;;;Sporten
logies;Hotel;Château St. Gerlach;https://www.oostwegelcollection.nl/chateau-st-gerlach/;;;;;Joseph Corneli Allée;3;6301KK;Valkenburg;508698929;5,79843E+15;points;420063502;node;https://www.openstreetmap.org/node/420063502;;;;Slapen
vrije_tijd;Perspectief;Schrieversheide;;;;;;;;;;5,09232E+16;59812551;points;429330617;node;https://www.openstreetmap.org/node/429330617;;;;
horeca;Restaurant;Pannenkoekenrestaurant Schrieversheide;https://www.restaurantschrieversheide.nl/;;;;pancake;Schaapskooiweg;99;6414EL;Heerlen;509232129;59809631;points;429330618;node;https://www.openstreetmap.org/node/429330618;;;;Eten
vrije_tijd;Informatie;Infocentrum Groote Heide;;+31 77 351 9439;;We,Su 12:30-16:30;;;;;;513581507;6,21058E+15;points;433156468;node;https://www.openstreetmap.org/node/433156468;;;;
horeca;Pub;'t Klaverblad;;;;;;;;;;510023088;5,82734E+16;points;434108152;node;https://www.openstreetmap.org/node/434108152;;;;
horeca;Pub;Cafe ut Vloot;;;;;;;;;;5,08409E+16;57222494;points;438240581;node;https://www.openstreetmap.org/node/438240581;;;;
horeca;Pub;Ut Kölke;;;;;;;;;;508424763;57277417;points;438240588;node;https://www.openstreetmap.org/node/438240588;;;;
horeca;fast_food;Snackpoint Thoear;;;;;;;;;;5,11629E+16;58435645;points;441698040;node;https://www.openstreetmap.org/node/441698040;;;;
horeca;Restaurant;De Pannekoekenbakker;https://www.pannekoekenbakker.nl/vestigingen/thorn;+31 475 563 327;thorn@pannekoekenbakker.nl;;pancake;Bogenstraat;2;6017AV;Thorn;5,11612E+16;58421835;points;441701464;node;https://www.openstreetmap.org/node/441701464;;;;Eten
horeca;Restaurant;Hotel-Restaurant Crasborn;https://www.hotelcrasborn.nl;+31 475 561 281;info@hotelcrasborn.nl;;;Hoogstraat;6;6017AR;Thorn;5,11611E+16;5,84249E+16;points;441701465;node;https://www.openstreetmap.org/node/441701465;;;;Eten
horeca;Restaurant;Hotel-Restaurant La Ville Blanche;https://www.hotellavilleblanche.nl;+31 475 562 341;info@hotellavilleblanche.nl;;;Hoogstraat;2;6017AR;Thorn;5,1161E+16;58427949;points;441701466;node;https://www.openstreetmap.org/node/441701466;;;;Eten
horeca;Cafe;Café 't Centrum;;;;;;;;;;5,07959E+16;57654892;points;441889223;node;https://www.openstreetmap.org/node/441889223;;;;
horeca;Restaurant;IJssalon San Marino;;;;;ice_cream;;;;;5,11613E+16;58408436;points;442544585;node;https://www.openstreetmap.org/node/442544585;;;;
horeca;Restaurant;Sfeer;https://www.restaurant-sfeer.nl;;;;local;;;;;5,11778E+16;5,84267E+15;points;442546153;node;https://www.openstreetmap.org/node/442546153;;;;Eten
horeca;Restaurant;De Zomertuin;;;;;chinese;;;;;5,11702E+16;58235418;points;442587523;node;https://www.openstreetmap.org/node/442587523;;;;
horeca;fast_food;Cafetaria Het Mergelland;;;;;;;;;;507947932;57691746;points;443032102;node;https://www.openstreetmap.org/node/443032102;;;;
horeca;fast_food;La Marmite;;;;;frites;;;;;50798231;57079176;points;444634766;node;https://www.openstreetmap.org/node/444634766;;;;
horeca;Restaurant;De Geulhemermolen;https://www.geulhemermolen.nl/;;;;;Geulhemmerweg;49A;6325PJ;Berg en Terblijt;508689101;5,78367E+16;points;448146633;node;https://www.openstreetmap.org/node/448146633;;;;Eten
horeca;Pub;Cafe Liebes;https://eetcafe-liebes.nl;+31 475 224743;info@eetcafe-liebes.nl;"We-Su 12:00-23:00; Mo-Tu off";international;Hoofdstraat;95;6061CB;Posterholt;5,11221E+16;60362637;points;451617738;node;https://www.openstreetmap.org/node/451617738;;;;Drinken
horeca;Cafe;Theeschenkerij;;;;;;;;;;5,12667E+16;57665948;points;453524677;node;https://www.openstreetmap.org/node/453524677;;;;
vrije_tijd;Sportcentrum;Katholische Grundschule Straß;;;;;;;;;;508551681;6,07728E+15;points;457630489;node;https://www.openstreetmap.org/node/457630489;;;;
horeca;Cafe;Infocenter;;;;;;Am Freibad;13;;;509859529;59984256;points;462739338;node;https://www.openstreetmap.org/node/462739338;;;;
vrije_tijd;fitness_centre;BBM Gym;https://bbmgym.nl/;+31 6 11649516;info@bbmgym.nl;"Mo-Fr 09:00-21:00; Sa 10:00-17:00; Su 10:00-12:00";;Roserije;327;6228DR;Maastricht;508274343;5,72589E+16;points;467095798;node;https://www.openstreetmap.org/node/467095798;;;;Sporten
horeca;Cafe;Leanzo;https://leanzo.nl;+31 77 307 1454;leanzo@home.nl;;friture;Helenaveenseweg;5;5985NK;Grashoek;5,13622E+16;5,93921E+15;points;469221305;node;https://www.openstreetmap.org/node/469221305;;;;Drinken
vrije_tijd;Museum;Romeinse Katakomben;https://www.romeinsekatakomben.nl/;;;;;;;;;508654926;5,82162E+15;points;473380736;node;https://www.openstreetmap.org/node/473380736;;;;Bezoeken
logies;Hotel;Bastion Hotel Maastricht Centrum;https://www.bastionhotels.com/nl-nl/hotels/hotel-maastricht-centrum;;;;;Boschstraat;27;6211AS;Maastricht;5,08552E+16;5,69023E+15;points;476646999;node;https://www.openstreetmap.org/node/476646999;;;;Slapen
horeca;Cafe;Aux Trois Bornes;;;;;;;;;;507541602;60204379;points;477385884;node;https://www.openstreetmap.org/node/477385884;;;;
horeca;fast_food;Aux Trois Bornes;;;;;friture;Route des Trois Bornes;99;;;5,07543E+16;60204652;points;477385890;node;https://www.openstreetmap.org/node/477385890;;;;
horeca;fast_food;Frietkot;;;;;friture;;;;;5,07551E+16;60202125;points;477386034;node;https://www.openstreetmap.org/node/477386034;;;;
horeca;Cafe;Café 't Duvelke;;;;;;Dorpsstraat 23;;3790;Mouland;507571652;5,71095E+15;points;485088513;node;https://www.openstreetmap.org/node/485088513;;;;
vrije_tijd;Informatie;Wandern im Aachener Wald;;;;;;;;;;5,07463E+16;60609652;points;486643345;node;https://www.openstreetmap.org/node/486643345;;;;
vrije_tijd;Cinema;Lumière;https://www.lumiere.nl/;;;;;Bassin;88;6211AK;Maastricht;5,08567E+15;56911022;points;492633789;node;https://www.openstreetmap.org/node/492633789;;;;Bioscoop
horeca;Pub;'t Heukske;;;;;;;;;;512833222;60911577;points;496191027;node;https://www.openstreetmap.org/node/496191027;;;;
horeca;Restaurant;Chinees Restaurant Boeddha;https://www.boeddhaschinveld.nl/;+31 45 525 2525;;"Mo, We-Th 16:00-21:00; Fr-Sa 16:00-21:30; Su 12:00-21:30";"chinese;indian";Brunssummerstraat;4;6451CS;Schinveld;5,09689E+16;5,97648E+16;points;508541155;node;https://www.openstreetmap.org/node/508541155;;;;Eten
logies;Hotel;Hoeve de Plei;https://www.hoevedeplei.nl/;;;;;Overgeul;1;6281BG;Mechelen;507949094;5,91851E+15;points;508572030;node;https://www.openstreetmap.org/node/508572030;;;;Slapen
vrije_tijd;Informatie;Boerderijwinkel Géron;;;;;;Pastoor Ruttenstraat;2;6281AB;Mechelen;507995066;59278414;points;508572050;node;https://www.openstreetmap.org/node/508572050;;;;
logies;Hotel;Hotel Brull;https://www.hotel-brull.nl/;+31 43 455 1263;hotelbrull@saillanthotels.eu;;;Hoofdstraat;26;6281BD;Mechelen;5,07949E+16;59217047;points;508572052;node;https://www.openstreetmap.org/node/508572052;;;;Slapen
horeca;Restaurant;De Oude Brouwerij;https://www.deoudebrouwerij.nl/;;;;regional;Hoofdstraat;53;6281BB;Mechelen;507950974;59231878;points;508572054;node;https://www.openstreetmap.org/node/508572054;;;;Eten
horeca;Restaurant;Chinese Muur;https://www.chinesemuur-mechelen.nl/;;;"Mo,Tu 14:45-21:00; Th,Fr 15:00-21:00; Sa,Su 12:00-21:30";chinese;Commandeurstraat;56;6281AN;Mechelen;507932294;59266315;points;508572062;node;https://www.openstreetmap.org/node/508572062;;;;Eten
horeca;Restaurant;Vino e Cucina;https://www.vinocucina.nl;;;"We,Th 16:30-20:00; Fr,Sa 16:30-20:00; Su 16:30-20:00";italian;;;;;5,07958E+16;5,92531E+15;points;508572101;node;https://www.openstreetmap.org/node/508572101;;;;Eten
horeca;Pub;'t Pintje;http://www.tpintjemechelen.nl/;;;;;;;;;507958541;59249827;points;508572105;node;https://www.openstreetmap.org/node/508572105;;;;Drinken
horeca;fast_food;Im Cardinal;;;;;sandwich;;;;;5,07956E+16;59241086;points;508572108;node;https://www.openstreetmap.org/node/508572108;;;;
horeca;Restaurant;Geulhof;https://geulhof.nl/diensten/restaurant/;+31 43 455 2522;;Fr-Su 11:00-21:00;regional;Eperweg;11;6281NA;Mechelen;5,07924E+16;59182752;points;508584623;node;https://www.openstreetmap.org/node/508584623;;;;Eten
logies;guest_house;Hof van Kleeberg;https://www.hofvankleeberg.nl/;;;;;Bommerigerweg;10;6281BS;Mechelen;5,07899E+16;5,92794E+15;points;508584636;node;https://www.openstreetmap.org/node/508584636;;;;Slapen
vrije_tijd;Museum;Cuypershuis;https://www.cuypershuisroermond.nl/;+31 475 359 102;;"Tu-Su 11:00-17:00; Dec 24,31 11:00-16:00; Mo, PH off; easter +1 days,easter +50 days 11:00-17:00";;Pierre Cuypersstraat;1;6041XG;Roermond;5,11883E+16;59882605;points;514305154;node;https://www.openstreetmap.org/node/514305154;;;;Bezoeken
horeca;Pub;De Gau;https://galeriedegau.jouwweb.nl/;+31 6 50210294;info@galeriedegau.nl;"Tu 09:00-15:00; Fr-Sa 13:00-22:00; Su 13:00-20:00";;von Clermontplein;32;6291AV;Vaals;5,07703E+16;60186437;points;516227163;node;https://www.openstreetmap.org/node/516227163;;;;Drinken
horeca;Restaurant;Tian Cheng;https://tiancheng.nl/;+31 43 3030656;info@tiancheng.nl;Tu-Su 11:00-20:00;"chinese;japanese;korean";Pastoor Brouwersstraat;20A;6269BP;;5,08198E+16;5,8215E+15;points;524063825;node;https://www.openstreetmap.org/node/524063825;;;;Eten
horeca;Restaurant;Happy Garden;;;;;;Rijksweg;47;6269AB;Margraten;508176804;58292542;points;524064531;node;https://www.openstreetmap.org/node/524064531;;;;
logies;Hotel;Wippelsdaal;;;;;;Groot Welsden;13;6269ET;Margraten;5,08303E+16;58148618;points;524094923;node;https://www.openstreetmap.org/node/524094923;;;;
horeca;Restaurant;Amon Sphinx;;+31 77 737 0164;;;"pizza;kebab";Raadhuisstraat;2;5975BJ;Sevenum;514119254;6,03685E+15;points;528987630;node;https://www.openstreetmap.org/node/528987630;;;;
horeca;fast_food;AnyTyme;https://www.anytyme.nl/vestigingen/anytyme-de-fijnproever;+31 77 467 3823;;;friture;Markt;25;5975AM;Sevenum;5,14125E+16;60353154;points;528987637;node;https://www.openstreetmap.org/node/528987637;;;;Eten
horeca;fast_food;Het Centrum;;+31 77 467 3236;;;"friture;burger";Kerkstraat;3;5975BH;Sevenum;514123419;60374061;points;528987638;node;https://www.openstreetmap.org/node/528987638;;;;
horeca;Restaurant;Chinese Muur;;+31 77 467 3707;;;chinese;Raadhuisstraat;10;5975BJ;Sevenum;5,14117E+16;60367128;points;528987639;node;https://www.openstreetmap.org/node/528987639;;;;
horeca;Pub;De Sevewaeg;https://www.desevewaeg.nl/;+31 77 467 1345;;;;Markt;3;5975AM;Sevenum;5,14121E+16;60367468;points;528987640;node;https://www.openstreetmap.org/node/528987640;;;;Drinken
horeca;Pub;Cafe Breurs;https://www.breurs.com;+31 6 51875304;;;;Markt;12;5975AN;Sevenum;5,14125E+16;6,03597E+16;points;528987641;node;https://www.openstreetmap.org/node/528987641;;;;Drinken
horeca;Restaurant;Voisine - Boutique cafe;https://jansen-noy.nl/voisine;;;;;Kerkstraat;11;5975BH;Sevenum;5,14123E+16;6,03796E+15;points;528987642;node;https://www.openstreetmap.org/node/528987642;;;;Eten
horeca;Pub;Trapperie de Werkplats;https://www.trapperiedewerkplats.nl/;+31 77 467 1357;;;;Raadhuisstraat;26;5975BJ;Sevenum;5,14116E+16;60366539;points;528987646;node;https://www.openstreetmap.org/node/528987646;;;;Drinken
horeca;Restaurant;Lo Sole;https://www.ijssalonlosole.nl/;+31 77 467 4919;;;"ice_cream;lunch;diner";Maasbreeseweg;1;5975BL;Sevenum;514107433;6,03647E+16;points;528999023;node;https://www.openstreetmap.org/node/528999023;;;;Eten
horeca;Restaurant;Cultureel Centrum De Wingerd;;;;;;;;;;514102297;6035987;points;529002926;node;https://www.openstreetmap.org/node/529002926;;;;
horeca;Pub;De Paerssjtal;;;;;;Keulseweg;103;5953HG;Reuver;512834877;60919412;points;537517994;node;https://www.openstreetmap.org/node/537517994;;;;
logies;guest_house;Schuikerschuur;;;;;;Lambertusstraat;9;6015AP;Neeritter;5,1164E+16;5,80217E+16;points;551639187;node;https://www.openstreetmap.org/node/551639187;;;;
horeca;fast_food;Fiture De Heerlyckheid;;;;;;;;;;511647516;5,80427E+15;points;551639218;node;https://www.openstreetmap.org/node/551639218;;;;
vrije_tijd;Attractie;Hoogste Punt van Nederland;;;;;;;;;;5,07547E+16;60207565;points;552881251;node;https://www.openstreetmap.org/node/552881251;;;;
horeca;Restaurant;De MiniGrill van Raymound;https://grillroom-maastricht.nl;;;;greek;Steegstraat;23;6227CL;Maastricht;5,08415E+15;57298912;points;564094918;node;https://www.openstreetmap.org/node/564094918;;;;Eten
